ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
2003	19	Franciaország	francia	Louisa Baïleche	Monts et merveilles	Hegyek és csodák	18	19
2009	14	Málta	angol	Chiara	What If We	Mi lenne, ha mi...	22	31
1961	11	Belgium	holland	Bob Benny	September, gouden roos	Szeptember, aranyrózsa	15	1
1993	2	Törökország	török	Burak Aydos	Esmer Yarim	Barna kedvesem	21	10
2004	4	Franciaország	francia, spanyol	Jonatan Cerrada	À chaque pas	Minden lépéssel	15	40
2000	18	Svédország	angol	Roger Pontare	When Spirits Are Calling My Name	Amikor szellemek szólítanak	7	88
1992	11	Izland	izlandi	Heart 2 Heart	Nei eða já	Nem vagy igen?	7	80
1971	10	Belgium	holland	Lily Castel és Jacques Raymond	Goeiemorgen, morgen	Jó reggelt, reggel	14	68
1981	11	Hollandia	holland	Linda Williams	Het is een wonder	Ez egy csoda	9	51
1963	14	Belgium	holland	Jacques Raymond	Waarom?	Miért?	10	4
1976	6	Belgium	francia	Pierre Rapsat	Judy et Cie	Judit és társai	8	68
1990	15	Jugoszlávia	szerbhorvát	Tajči	Hajde da ludujemo	Legyünk őrültek!	7	81
2008	3	Albánia	albán	Olta Boka	Zemrën e lamë peng	Kockára tettük a szívünket	17	55
1980	11	Norvégia	norvég, északi számi	Sverre Kjelsberg és Mattis Hætta	Sámiid Ædnan	A számik földje	16	15
1987	1	Norvégia	norvég	Kate Gulbrandsen	Mitt liv	Az életem	9	65
1976	17	Franciaország	francia	Catherine Ferry	Un, deux, trois	Egy, kettő, három	2	147
2007	5	Finnország	angol	Hanna	Leave Me Alone	Hagyjál békén	17	53
2004	22	Törökország	angol	Athena	For Real	Tényleg	4	195
1980	7	Dánia	dán	Bamses Venner	Tænker altid på dig	Mindig rád gondolok	14	25
1958	10	Svájc	német, olasz	Lys Assia	Giorgio	György	2	24
1975	5	Luxemburg	francia	Géraldine	Toi	Te	5	84
1990	16	Portugália	portugál	Nucha	Há sempre alguém	Mindig van valaki	20	9
2006	5	Norvégia	norvég	Christine Guldbrandsen	Alvedansen	A manótánc	14	36
2007	3	Fehéroroszország	angol	Koldun	Work Your Magic	Varázsolj	6	145
1989	9	Portugália	portugál	Da Vinci	Conquistador	Hódító	16	39
1970	7	Egyesült Királyság	angol	Mary Hopkin	Knock, Knock Who's There?	Kopp-kopp, ki van ott?	2	26
1992	4	Törökország	török	Aylin Vatankoş	Yaz Bitti	Vége a nyárnak	19	17
1994	21	Spanyolország	spanyol	Alejandro Abad	Ella no es ella	Ő nem ő	18	17
1964	2	Hollandia	holland	Anneke Groenloh	Jij bent mijn leven	Te vagy az életem	10	2
2013	8	Fehéroroszország	angol	Alena Lanszkaja	Solayoh	—	16	48
1981	12	Írország	angol	Sheeba	Horoscopes	Horoszkópok	5	105
2009	21	Ukrajna	angol	Svetlana Loboda	Be My Valentine! (Anti-Crisis Girl)	Légy a szerelmem! (Válság-ellenes lány)	12	76
1993	7	Belgium	holland	Barbara	Iemand als jij	Valaki olyan, mint Te	25	3
2001	22	Görögország	görög, angol	Antique	Die for You	Meghalnék érted	3	147
2000	15	Németország	német, angol	Stefan Raab	Wadde hadde dudde da?	Mi van ott nálad?	5	96
1985	15	Svájc	német	Mariella Farré és Pino Gasparini	Piano, Piano	Lassan, lassan	12	39
1997	21	Dánia	dán	Kølig Kaj	Stemmen i mit liv	A hang az életemben	16	25
1983	13	Ciprus	görög	Stavros és Constantina	I agapi akoma zi	A szerelem még él	16	26
1973	10	Olaszország	olasz	Massimo Ranieri	Chi sarà con te	Ki lesz veled	13	74
2007	18	Ukrajna	ukrán, német, angol	Verka Serduchka	Dancing Lasha Tumbai	Táncolás	2	235
1971	2	Málta	máltai	Joe Grech	Marija l-Maltija	Mária, a máltai lány	18	52
2005	11	Izrael	héber, angol	Shiri Maimon	Hasheket Shenish'ar	A csend, mely megmarad	4	154
1980	4	Luxemburg	francia	Sophie & Magaly	Papa pingouin	Pingvin papa	9	56
2008	17	Grúzia	angol	Diana Gurtskaya	Peace Will Come	Eljön a béke	11	83
1974	10	Monaco	francia	Romuald	Celui qui reste et celui qui s'en va	Az, aki marad, és az, aki megy	4	14
2013	13	Hollandia	angol	Anouk	Birds	Madarak	9	114
2005	16	Ukrajna	ukrán, angol	GreenJolly	Razom nasz bahato	Együtt sokan vagyunk	19	30
1965	4	Írország	angol	Butch Moore	I'm Walking the Streets in the Rain	Esőben sétálok az utakon	6	11
1967	15	Jugoszlávia	szlovén	Lado Leskovar	Vse rože sveta	A világ összes virága	8	7
2006	22	Svédország	angol	Carola	Invincible	Legyőzhetetlen	5	170
2013	23	Olaszország	olasz	Marco Mengoni	L'essenziale	A lényeges	7	126
1974	15	Svájc	német	Piera Martell	Mein Ruf nach dir	Téged hívlak	14	3
2011	7	Svédország	angol	Eric Saade	Popular	Népszerű	3	185
1961	15	Egyesült Királyság	angol	The Allisons	Are You Sure?	Biztos vagy?	2	24
2007	19	Egyesült Királyság	angol	Scooch	Flying the Flag (for You)	Kitűzöm (érted) a zászlót	22	19
1980	17	Írország	angol	Johnny Logan	What’s Another Year?	Mit ér egy újabb év	1	143
1974	12	Hollandia	angol	Mouth és MacNeal	I See A Star	Egy csillagot látok	3	15
1994	24	Lengyelország	lengyel	Edyta Górniak	To nie ja	Ez nem én vagyok	2	166
1959	9	Ausztria	német	Ferry Graf	Der K und K Kalypso aus Wien	A bécsi császári és királyi Kalypso	9	4
2000	5	Franciaország	francia	Sofia Mestari	On aura le ciel	Miénk lesz az ég	23	5
1994	11	Románia	román	Dan Bittman	Dincolo de nori	A felhők felett	21	14
1973	13	Hollandia	holland	Ben Cramer	De oude muzikant	Az öreg muzsikus	14	69
1987	14	Egyesült Királyság	angol	Rikki	Only the Light	Csak a fény	13	47
1984	4	Spanyolország	spanyol	Bravo	Lady, Lady	Hölgy, hölgy	3	106
2012	7	Izland	angol	Greta Salóme és Jónsi	Never Forget	Soha nem feledem	20	46
2005	14	Svédország	angol	Martin Stenmarck	Las Vegas	Las Vegas	19	30
1976	12	Spanyolország	spanyol	Braulio	Sobran las palabras	Nincsen szükség szavakra	16	11
1990	18	Svédország	svéd	Edin-Ådahl	Som en vind	Mint egy szél	16	24
1961	16	Olaszország	olasz	Betty Curtis	Al di là	Azon túl	5	12
2000	10	Belgium	francia	Nathalie Sorce	Envie de vivre	Életkedv	24	2
1994	18	Bosznia-Hercegovina	bosnyák	Alma és Dejan	Ostani kraj mene	Maradj mellettem	15	39
2013	21	Görögország	görög, angol	Koza Mostra és Agathon Iakovidis	Alcohol Is Free	Ingyen van az alkohol	6	152
1999	15	Svédország	angol	Charlotte Nilsson	Take Me to Your Heaven	Vigyél a mennyországodba	1	163
1968	1	Portugália	portugál	Carlos Mendes	Verão	Nyár	11	5
2013	7	Észtország	észt	Birgit	Et uus saaks alguse	Egy új kezdet lehetne	20	19
1985	17	Ausztria	német	Gary Lux	Kinder dieser Welt	Eme világ gyermekei	8	60
1978	6	Franciaország	francia	Joël Prevost	Il y aura toujours des violons	Mindig lesznek hegedűk	3	119
1974	11	Belgium	francia	Jacques Hustin	Fleur de liberté	A szabadság virágai	9	10
2013	12	Örményország	angol	Dorians	Lonely Planet	Magányos bolygó	18	41
1973	3	Portugália	portugál	Fernando Tordo	Tourada	Bikaviadal	10	80
1995	8	Ausztria	német	Stella Jones	Die Welt dreht sich verkehrt	Rossz irányba forog a föld	13	67
1991	5	Svájc	olasz	Sandra Simò	Canzone per te	Egy dal Neked	5	118
1976	9	Norvégia	angol	Anne-Karine Strøm	Mata Hari	Mata Hari	18	7
1994	19	Görögország	görög	Kostas Bigalis & The Sea Lovers	To Trehandiri (Diri Diri)	A trehandiri (Diri Diri)	14	44
2005	19	Görögország	angol	Helena Paparizou	My Number One	Az én első helyezettem	1	230
1976	8	Hollandia	angol	Sandra Reemer	The Party's Over	Vége a partinak	9	56
1997	8	Hollandia	holland	Mrs. Einstein	Niemand heeft nog tijd	Senkinek sincs ideje többé	22	5
2012	10	Olaszország	angol, olasz	Nina Zilli	L'amore è femmina (Out of Love)	A szerelem egy nő (Szeretetből)	9	101
1989	17	Ciprus	görög	Jánisz Szavidákisz és Faní Poliméri	Apópsze asz vrethúme	Találkozzunk ma éjjel	11	51
1964	10	Monaco	francia	Romuald Figuier	Où sont-elles passées?	Hová mentek ők?	3	15
1966	12	Svájc	francia	Madeleine Pascal	Ne vois-tu pas?	Nem látod?	6	12
1962	9	Franciaország	francia	Isabelle Aubret	Un premier amour	Egy első szerelem	1	26
1990	20	Ausztria	német	Simone	Keine Mauern mehr	Nincsenek többé falak	10	58
1992	7	Svédország	svéd	Christer Björkman	I morgon är en annan dag	A holnap egy másik nap	22	9
2002	12	Svédország	angol	Afro-dite	Never Let It Go	Sose hagyom elmenni	8	72
1980	2	Törökország	török	Ajda Pekkan	Pet'r oil	Petróleum	15	23
2006	17	Finnország	angol	Lordi	Hard Rock Hallelujah	Kemény rock hallelúja	1	292
1997	7	Svájc	olasz	Barbara Berta	Dentro di me	Bennem	22	5
1985	2	Finnország	finn	Sonja Lumme	Eläköön elämä	Éljen soká az élet	9	58
1995	23	Görögország	görög	Elina Konstantopoulou	Pia prosefhi?	Melyik imádság?	12	68
1980	9	Svájc	francia	Paola	Cinéma	Mozi	4	104
1983	8	Svájc	olasz	Mariella Farré	Io così non ci sto	Nem tetszik nekem ez így	15	28
1962	16	Monaco	francia	François Deguelt	Dis rien	Ne szólj	2	13
1972	14	Svédország	svéd	Family Four	Härliga sommardag	Gyönyörű nyári nap	13	75
2011	9	Görögország	angol, görög	Loucas Yiorkas és Stereo Mike	Watch My Dance	Figyeld a táncomat	7	120
1967	16	Olaszország	olasz	Claudio Villa	Non andare più lontano	Ne menj messzebb	11	4
2004	5	Szerbia és Montenegró	szerb	Željko Joksimović	Lane moje	Kedvesem	2	263
1974	1	Finnország	angol	Carita	Keep Me Warm	Tarts melegen	13	4
1957	7	Németország	német	Margot Hielscher	Telefon, Telefon	—	4	8
2012	11	Észtország	észt	Ott Lepland	Kuula	Hallgasd!	6	120
1962	6	Svédország	svéd	Inger Berggren	Sol och vår	Nap és tavasz	7	4
2012	14	Románia	spanyol, angol	Mandinga	Zaleilah	—	12	71
1983	5	Olaszország	olasz	Riccardo Fogli	Per Lucia	Lucának	11	41
1981	16	Belgium	holland	Emly Starr	Samson	Sámson	13	40
2001	4	Norvégia	angol	Haldor	On My Own	Egymagamban	22	3
1965	1	Hollandia	holland	Conny van den Bos	Het is genoeg	Elég volt	11	5
1981	6	Dánia	dán	Debbie Cameron és Tommy Seebach	Krøller eller ej	Göndör vagy sima haj	11	41
1986	5	Egyesült Királyság	angol	Ryder	Runner in the Night	Futó az éjszakában	7	72
2011	8	Észtország	angol	Getter Jaani	Rockefeller Street	Rockefeller utca	24	44
1989	7	Egyesült Királyság	angol	Live Report	Why Do I Always Get It Wrong?	Miért tévedek mindig?	2	130
2010	4	Moldova	angol	SunStroke Project & Olia Tira	Run Away	Fuss el	22	27
1988	1	Izland	izlandi	Beathoven	Þú og þeir (Sókrates)	Te és ők (Szókratész)	16	20
1999	7	Törökország	török	Tuğba Önal & Group Etnik	Dön Artık	Gyere vissza	16	21
2011	25	Grúzia	angol	Eldrine	One More Day	Még egy nap	9	110
1980	10	Finnország	finn	Vesa-Matti Loiri	Huilumies	Fuvolás	19	6
1976	7	Írország	angol	Red Hurley	When	Mikor	10	54
1983	3	Egyesült Királyság	angol	Sweet Dreams	I'm Never Giving Up	Sosem adom fel	6	79
1994	6	Egyesült Királyság	angol	Frances Ruffelle	Lonely Symphony (We Will Be Free)	Magányos szimfónia (Szabadok leszünk)	10	63
1981	5	Izrael	héber	Hakol Over Habibi	Halayla	Ma éjjel	7	56
1990	10	Izrael	héber	Rita	Sara Barchovót	Ének az utcán	18	16
1959	11	Belgium	holland	Bob Benny	Hou toch van mij	Szeress hát engem	6	9
1991	4	Görögország	görög	Sophia Vossou	I Anixi	Tavasz	13	36
1967	10	Belgium	holland	Louis Neefs	Ik heb zorgen	Aggályaim vannak	7	8
1958	4	Luxemburg	francia	Solange Berry	Un grand amour	Egy nagy szerelem	9	1
2001	13	Spanyolország	spanyol	David Civera	Dile que la quiero	Mondd neki, hogy szeretem őt	6	76
1969	15	Portugália	portugál	Simone de Oliveira	Desfolhada portuguesa	Portugál kukoricafosztás	15	4
2004	1	Spanyolország	spanyol	Ramón	Para llenarme de ti	Betelni veled	10	87
1964	15	Belgium	francia	Robert Cogoi	Près de ma rivière	A folyóm közelében	10	2
2007	1	Bosznia-Hercegovina	szerb	Maria	Rijeka bez imena	Névtelen folyó	11	106
2005	18	Horvátország	horvát	Boris Novković & Lado Members	Vukovi umiru sami	A farkasok magányosan halnak meg	11	115
2010	8	Szerbia	szerb	Milan Stanković	Ovo je Balkan	Ez a Balkán	13	72
1998	25	Macedónia	macedón	Vlado Janevski	Ne zori, zoro	Hajnal, ne jöjj el	19	16
1986	13	Belgium	francia	Sandra Kim	J’aime la vie	Szeretem az életet	1	176
1976	1	Egyesült Királyság	angol	Brotherhood of Man	Save Your Kisses for Me	Őrizd meg a csókjaidat nekem	1	164
1991	13	Dánia	dán	Anders Frandsen	Lige der hvor hjertet slår	Ott, ahol a szív dobog	19	8
1982	6	Finnország	finn	Kojo	Nuku pommiin	Késő ébredés	18	0
