ev	sorrend	orszag	nyelv	eloado	eredeti	magyar	helyezes	pontszam
1975	6	Norvégia	angol	Ellen Nikolaysen	Touch My Life (With Summer)	Nyárral érintsd meg az életemet	18	11
2008	19	Franciaország	angol, francia	Sébastien Tellier	Divine	Isteni	19	47
1964	14	Svájc	olasz	Anita Traversi	I miei pensieri	A gondolataim	13	0
2011	18	Ausztria	angol	Nadine Beiler	The Secret Is Love	A szerelem a titok	18	64
1957	6	Hollandia	holland	Corry Brokken	Net als toen	Úgy, mint egykor	1	31
1986	20	Portugália	portugál	Dora	Não sejas mau para mim	Ne legyél rossz hozzám	14	28
1974	13	Írország	angol	Tina Reynolds	Cross Your Heart	Esküdj meg	7	11
1957	3	Egyesült Királyság	angol	Patricia Bredin	All	Minden	7	6
2010	2	Spanyolország	spanyol	Daniel Diges	Algo pequeñito (Something tiny)	Egy kis apróság	15	68
1963	7	Finnország	finn	Laila Halme	Muistojeni laulu	Emlékeim dala	13	0
1972	7	Portugália	portugál	Carlos Mendes	A festa da vida	Az élet ünnepe	7	90
1973	1	Finnország	angol	Marion Rung	Tom Tom Tom	Tamm tamm tamm	6	93
1993	22	Spanyolország	spanyol	Eva Santamaría	Hombres	Férfiak	11	58
1995	18	Svédország	svéd	Jan Johansen	Se på mig	Nézz rám	3	100
2002	1	Ciprus	angol	One	Gimme	Add nekem	6	85
1999	10	Franciaország	francia	Nayah	Je veux donner ma voix	Neked adnám a hangomat	19	14
1972	12	Olaszország	olasz	Nicola di Bari	I giorni dell'arcobaleno	A szivárvány napjai	6	92
1966	9	Ausztria	német	Udo Jürgens	Merci, Chérie	Köszönöm drágám	1	31
1966	3	Belgium	francia	Tonia	Un peu de poivre, un peu de sel	Egy csipet bors, egy csipet só	4	14
2013	6	Belgium	angol	Roberto Bellarosa	Love Kills	A szerelem öl	12	71
1969	12	Norvégia	norvég	Kirsti Sparboe	Oj, oj, oj, så glad jeg skal bli	Jaj, jaj, jaj, milyen boldog leszek	16	1
1997	16	Svédország	svéd	Blond	Bara hon älskar mig	Bárcsak szeretne engem	14	36
1999	3	Spanyolország	spanyol	Lydia	No quiero escuchar	Nem akarok hallgatni	23	1
2003	17	Görögország	angol	Mando	Never Let You Go	Sosem hagylak elmenni	17	25
1979	2	Olaszország	olasz	Matia Bazar	Raggio di luna	Holdfény	15	27
1966	8	Portugália	portugál	Madalena Iglesias	Ele e ela	Ő és ő	13	6
1980	13	Egyesült Királyság	angol	Prima Donna	Love Enough for Two	Szerelem, mely két ember számára elég	3	106
1960	9	Svájc	olasz	Anita Traversi	Cielo e terra	Ég és föld	8	5
2007	7	Szlovénia	szlovén	Alenka Gotar	Cvet z juga	A Dél virága	15	66
1988	18	Olaszország	olasz	Luca Barbarossa	Vivo (Ti scrivo)	Élek (Neked írok)	12	52
2004	20	Egyesült Királyság	angol	James Fox	Hold On to Our Love	Tartsunk ki szerelmünk mellett	16	29
1987	8	Portugália	portugál	Nevada	Neste barco à vela	Ezen a vitorláshajón	18	15
2006	4	Lettország	angol	Cosmos	I Hear Your Heart	Hallom a szívedet	16	30
1995	7	Izland	izlandi	Bo Halldórsson	Núna	Most	15	31
1982	7	Svájc	francia	Arlette Zola	Amour on t'aime	Szeretünk, szerelem	3	97
1964	12	Olaszország	olasz	Gigliola Cinquetti	Non ho l’età	Nem vagyok elég idős	1	49
1971	5	Németország	német	Katja Ebstein	Diese Welt	Ez a világ	3	100
1972	4	Spanyolország	spanyol	Jaime Morey	Amanece	Hajnalodik	10	83
1963	15	Monaco	francia	Françoise Hardy	L'amour s'en va	Elmúlik a szerelem	5	25
1991	6	Ausztria	német	Thomas Forstner	Venedig im Regen	Velence az esőben	22	0
1988	10	Írország	angol	Jump The Gun	Take Him Home	Vidd őt haza	8	79
2011	10	Oroszország	angol, orosz	Alexey Vorobyov	Get You	Elkaplak	16	77
1989	20	Izland	izlandi	Daniel	Það sem enginn sér	Amit senki sem lát	22	0
1959	2	Dánia	dán	Birthe Wilke	Uh, jeg ville ønske jeg var dig	Ó, bárcsak a helyedben lehetnék	5	12
1973	5	Norvégia	angol, francia	Bendik Singers	It's Just a Game	Ez csak egy játék	7	89
1976	5	Luxemburg	francia	Jürgen Marcus	Chansons pour ceux qui s'aiment	Dalok azoknak, akik szeretik egymást	14	17
1967	3	Ausztria	német	Peter Horten	Warum es 100.000 Sterne gibt	Miért van százezernyi csillag?	14	2
2001	17	Szlovénia	angol	Nuša Derenda	Energy	Energia	7	70
1985	8	Belgium	holland	Linda Lepomme	Laat me nu gaan	Hagyj most elmenni	19	7
1979	8	Svájc	német	Peter, Sue & Marc, Pfuri Gorps és Kniri	Trödler und Co	Zsibárus-társulat	10	60
1990	13	Németország	német	Chris Kempers és Daniel Kovac	Frei zu leben	Szabadon élni	9	60
1998	3	Franciaország	francia	Marie-Line	Où aller	Hová menni	24	3
2011	2	Bosznia-Hercegovina	angol, bosnyák	Dino Merlin	Love in Rewind	Visszafordított szerelem	6	125
1997	2	Törökország	török	Şebnem Paker & Grup Etnic	Dinle	Hallgasd	3	121
1997	6	Szlovénia	szlovén	Tanja Ribič	Zbudi se	Ébredj fel	10	60
1984	12	Jugoszlávia	szerbhorvát	Vlado és Izolda	Ciao, amore	Viszlát, szerelmem	18	26
1996	22	Szlovákia	szlovák	Marcel Palonder	Kým nás máš	Amíg ott vagyunk neked	18	19
2007	13	Franciaország	francia, angol	Les Fatals Picards	L'amour à la française	Szerelem francia módra	22	19
1984	18	Olaszország	olasz	Alice és Franco Battiato	I treni di Tozeur	Tozeur vonatai	5	70
2001	15	Törökország	török, angol	Sedat Yüce	Sevgiliye Son	Viszlát szerelmem	11	41
2006	24	Örményország	angol	André	Without Your Love	A szerelmed nélkül	8	129
1968	15	Spanyolország	spanyol	Massiel	La, la, la	Lá, lá, lá	1	29
2001	9	Lettország	angol	Arnis Mednis	Too Much	Túl sok	18	16
1996	6	Málta	angol	Miriam Christine	In A Woman's Heart	Egy nő szívében	10	68
2005	9	Ciprus	angol	Constantinos Christoforou	Ela Ela (Come Baby)	Elle, ella (Gyere bébi)	18	46
1976	15	Portugália	portugál	Carlos do Carmo	Uma flor de verde pinho	Egy zöldfenyő virága	12	24
2002	16	Belgium	angol	Sergio & The Ladies	Sister	Nővér	13	33
1998	12	Szlovénia	szlovén	Vili Resnik	Naj bogovi slišijo	Hadd hallják az istenek	18	17
1981	17	Görögország	görög	Yiannis Dimitras	Feggari Kalokerino	Nyári hold	8	55
2013	24	Norvégia	angol	Margaret Berger	I Feed You My Love	Táplállak szerelmem	4	191
1994	16	Litvánia	litván	Ovidijus Vyšniauskas	Lopšinė mylimai	A kedves altatódala	25	0
1975	1	Hollandia	angol	Teach-In	Ding-A-Dong	Ding-Dong	1	152
2005	2	Egyesült Királyság	angol	Javine	Touch My Fire	Érintsd meg a tüzemet	22	18
1985	18	Luxemburg	francia	Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris és Malcolm Roberts	Children, Kinder, Enfants	Gyerekek, gyerekek, gyerekek	13	37
1995	21	Izrael	héber	Liora	Amen	Ámen	8	81
1984	7	Ciprus	görög	Andy Paul	Anna Maria Lena	Annamária Léna	15	31
2009	5	Horvátország	horvát	Igor Cukrov és Andrea	Lijepa Tena	Szép Tena	18	45
2006	12	Románia	angol, olasz	Mihai Trăistariu	Tornerò	Visszatérek	4	172
1978	18	Izrael	héber	Izhar Cohen & Alphabeta	A-Ba-Ni-Bi	Sze-ret-lek	1	157
1988	9	Svájc	francia	Céline Dion	Ne partez pas sans moi	Ne menj el nélkülem	1	137
2012	1	Egyesült Királyság	angol	Engelbert Humperdinck	Love Will Set You Free	A szerelem szabaddá tesz	25	12
2007	22	Törökország	angol	Kenan Doğulu	Shake It Up Shekerim	Rázzad kedvesem	4	163
2006	14	Litvánia	angol, francia	LT United	We Are the Winners	Mi vagyunk a győztesek	6	162
2011	23	Ukrajna	angol	Mika Newton	Angel	Angyal	4	159
1998	22	Norvégia	norvég	Lars A. Fredriksen	Alltid sommer	Örökké nyár	8	79
1992	23	Hollandia	holland	Humphrey Campbell	Wijs me de weg	Mutasd az utat	9	67
1989	16	Spanyolország	spanyol	Nina	Nacida para amar	Szerelemre születve	6	88
2008	4	Németország	angol	No Angels	Disappear	Eltűnni	23	14
1992	19	Olaszország	olasz	Mia Martini	Rapsodia	Rapszódia	4	111
2011	24	Szerbia	szerb	Nina	Čaroban	Csodás	14	85
1996	1	Törökország	török	Şebnem Paker	Beşinci mevsim	Az ötödik évszak	12	57
1987	21	Jugoszlávia	szerbhorvát	Novi fosili	Ja sam za ples	Táncolni van kedvem	4	92
2003	14	Hollandia	angol	Esther Hart	One More Night	Még egy éjszaka	13	45
1998	23	Észtország	észt	Koit Toome	Mere lapsed	A tenger gyermekei	12	36
1969	4	Monaco	francia	Jean Jacques	Maman, Maman	Anya, anya	6	11
1964	4	Dánia	dán	Bjørn Tidmand	Sangen om dig	Egy dal rólad	9	4
1960	13	Franciaország	francia	Jacqueline Boyer	Tom Pillibi	—	1	32
1963	12	Spanyolország	spanyol	José Guardiola	Algo prodigioso	Valami csodálatos	12	2
1987	9	Spanyolország	spanyol	Patricia Kraus	No estás solo	Nem vagy egyedül	19	10
1989	6	Belgium	holland	Ingeborg	Door de wind	A szélen át	19	13
1995	5	Norvégia	norvég	Secret Garden	Nocturne	Noktürn	1	148
1973	4	Németország	német	Gitte	Junger Tag	Fiatal nap	8	85
1992	13	Svájc	francia	Daisy Auvray	Mister Music Man	Zenész úr	15	32
2001	18	Lengyelország	angol	PIASEK	2 long	Túl hosszú	20	11
2002	10	Izrael	héber, angol	Sarit Hadad	Light a Candle	Gyújts gyertyát	12	37
1999	4	Horvátország	horvát	Doris	Marija Magdalena	Mária Magdolna	4	118
1997	12	Lengyelország	lengyel	Anna Maria Jopek	Ale jestem	De én létezek	11	54
2003	3	Írország	angol	Mickey Harte	We've Got The World	Miénk a világ	11	53
1999	13	Izland	angol	Selma	All Out of Luck	Nincs többé szerencséd	2	146
1998	7	Lengyelország	lengyel	Sixteen	To takie proste	Olyan könnyű	17	19
2002	7	Oroszország	angol	Prime Minister	Northern Girl	Északi lány	10	55
2004	11	Horvátország	angol	Ivan Mikulić	You Are The Only One	Te vagy az egyetlen	12	50
2004	15	Macedónia	angol	Toše Proeski	Life	Élet	14	47
1989	5	Törökország	török	Pan	Bana Bana	Nekem, nekem	21	5
2001	19	Németország	német, angol	Michelle	Wer Liebe lebt	A szerelemnek élni	8	66
1979	13	Luxemburg	francia	Jeane Manson	J'ai déjà vu ça dans tes yeux	Már láttam azt a szemeidben	13	44
2012	17	Svédország	angol	Loreen	Euphoria	Eufória	1	372
1994	12	Málta	angol	Chris és Moira	More Than Love	Több, mint szerelem	5	97
2010	17	Ukrajna	angol	Alyosha	Sweet People	Kedves emberek	10	108
1999	8	Norvégia	angol	Van Eijk	Living My Life Without You	Nélküled élni az életemet	14	35
1987	12	Hollandia	holland	Marcha	Rechtop in de wind	A szélben állva	5	83
2010	13	Grúzia	angol	Sofia Nizharadze	Shine	Ragyogás	9	136
1992	8	Portugália	portugál	Dina	Amor d'água fresca	Friss víz szerelem	17	26
2013	11	Németország	angol	Cascada	Glorious	Pompás	21	18
1986	7	Hollandia	holland	Frizzle Sizzle	Alles heeft ritme	Mindennek van ritmusa	13	40
1959	5	Hollandia	holland	Teddy Scholten	Een beetje	Egy picit	1	21
2008	10	Lengyelország	angol	Isis Gee	For Life	Az életért	24	14
1995	11	Horvátország	horvát	Magazin és Lidija	Nostalgija	Nosztalgia	6	91
1977	9	Egyesült Királyság	angol	Lynsey De Paul és Mike Moran	Rock Bottom	Mélypont	2	121
2013	2	Litvánia	angol	Andrius Pojavis	Something	Valami	22	17
2002	2	Egyesült Királyság	angol	Jessica Garlick	Come Back	Gyere vissza	3	111
2008	14	Lettország	angol	Pirates of The Sea	Wolves of the Sea	A tenger farkasai	12	83
2007	9	Litvánia	angol	4FUN	Love or Leave	Szeress vagy hagyj el	21	28
1998	8	Izrael	héber	Dana International	Diva	Díva	1	172
1970	10	Monaco	francia	Dominique Dussault	Marlène	Marlene	8	5
1968	10	Franciaország	francia	Isabelle Aubret	La source	A forrás	3	20
2001	14	Franciaország	francia, angol	Natasha Saint-Pier	Je n'ai que mon âme	Csak a lelkem van	4	142
1971	15	Portugália	portugál	Tonicha	Menina do alto da serra	Magashegyi lány	9	83
1960	2	Svédország	svéd	Siw Malmkvist	Alla andra får varann	Mindenki más együtt van	10	4
2005	3	Málta	angol	Chiara	Angel	Angyal	2	192
2005	7	Moldova	angol, román	Zdob şi Zdub	Boonika Bate Doba	A nagymama üti a dobot	6	148
2009	12	Bosznia-Hercegovina	bosnyák	Regina	Bistra voda	Tiszta víz	9	106
1982	12	Spanyolország	spanyol	Lucía	Él	Ő	10	52
1987	2	Izrael	héber	Datner & Kushnir	Shir habatlanim	Naplopók dala	8	73
2006	6	Spanyolország	spanyol	Las Ketchup	Un Bloody Mary	Egy Bloody Mary koktél	21	18
1958	3	Franciaország	francia	André Claveau	Dors, mon amour	Aludj, szerelmem	1	27
1972	11	Ausztria	német	Milestones	Falter im Wind	Pillangó a szélben	5	100
1990	14	Franciaország	francia	Joëlle Ursull	White and Black Blues	Fekete-fehér blues	2	132
1959	3	Olaszország	olasz	Domenico Modugno	Piove (Ciao, ciao bambina)	Esik az eső (Szia, szia kedvesem)	6	9
1984	13	Ausztria	német	Anita	Einfach weg	Csak menj	19	5
1988	5	Törökország	török	MFÖ	Sufi	Szúfi	15	37
2007	11	Grúzia	angol	Sopho	My Story	Az én történetem	12	97
1986	18	Dánia	dán	Lise Haavik	Du er fuld af løgn	Tele vagy hazugságokkal	6	77
1979	15	Svédország	svéd	Ted Gärdestad	Satellit	Műhold	17	8
2013	15	Egyesült Királyság	angol	Bonnie Tyler	Believe in Me	Higgy bennem	19	23
1965	9	Monaco	francia	Marjorie Noël	Va dire à l'amour	Menj, mondd meg a szerelemnek	9	7
1964	13	Jugoszlávia	horvát	Sabahudin Kurt	Život je sklopio krug	Az élet körbeért	13	0
2000	14	Dánia	angol	Olsen Brothers	Fly on the Wings of Love	Szállj a szerelem szárnyain	1	195
2006	15	Egyesült Királyság	angol	Daz Sampson	Teenage Life	Tinédzser élet	19	25
2007	24	Moldova	angol	Natalia Barbu	Fight	Harc	10	109
1967	14	Monaco	francia	Minouche Barelli	Boum Badaboum	Bumm-badabumm	5	10
1961	10	Svájc	francia	Franca di Rienzo	Nous aurons demain	Holnap a miénk lesz	3	16
1972	16	Belgium	francia	Serge és Christine Ghisoland	À la folie ou pas du tout	Bolondulásig vagy egyáltalán nem	17	55
1997	11	Németország	német	Bianca Shomburg	Zeit	Idő.	18	22
1989	12	Dánia	dán	Birthe Kjær	Vi maler byen rød	Vörösre festjük a várost	3	111
1987	7	Olaszország	olasz	Umberto Tozzi és Raf	Gente di mare	A tenger népe	3	103
1968	16	Németország	német	Wencke Myhre	Ein Hoch der Liebe	Éljen a szerelem	6	11
1961	2	Monaco	francia	Colette Deréal	Allons, allons les enfants	Gyerünk, gyerünk, gyerekek	10	6
1993	19	Egyesült Királyság	angol	Sonia	Better the Devil You Know	Jobb az ismert rossz	2	164
1971	7	Franciaország	francia	Serge Lama	Un jardin sur la terre	Egy kert a Földön	10	82
1998	16	Egyesült Királyság	angol	Imaani	Where Are You?	Hol vagy?	2	167
2011	11	Franciaország	korzikai	Amaury Vassili	Sognu	Álom	15	82
2003	10	Németország	angol	Lou	Let's Get Happy	Legyünk boldogok	11	53
1992	18	Dánia	dán	Kenny Lübcke és Lotte Nilsson	Alt det som ingen ser	A dolgok, melyeket senki sem lát	12	47
1983	11	Hollandia	holland	Bernadette	Sing Me a Song	Énekelj nekem egy dalt	7	66
2009	4	Svédország	francia, angol	Malena Ernman	La voix	A hang	21	33
1997	5	Írország	angol	Marc Roberts	Mysterious Woman	Rejtélyes nő	2	157
1957	4	Olaszország	olasz	Nunzio Gallo	Corde della mia chitarra	A gitárom húrjai	6	7
2008	20	Azerbajdzsán	angol	Elnur és Samir	Day after Day	Nap nap után	8	132
2005	6	Törökország	török	Gülseren	Rimi Rimi Ley	—	13	92
1976	13	Olaszország	olasz, angol	Al Bano & Romina Power	We'll Live It All Again	Mindent át fogunk élni újra	7	69
1989	4	Hollandia	holland	Justine Pelmelay	Blijf zoals je bent	Maradj olyan, amilyen vagy	15	45
2013	4	Finnország	angol	Krista Siegfrids	Marry Me	Gyere hozzám!	24	13
1965	3	Spanyolország	spanyol	Conchita Bautista	¡Qué bueno, qué bueno!	Milyen jó, milyen jó	15	0
2006	8	Németország	angol	Texas Lightning	No No Never	Nem nem soha	14	36
2007	10	Görögország	angol	Sarbel	Yassou, Maria	Szia Mária	7	139
1991	12	Portugália	portugál	Dulce	Lusitana paixão	Luzitán szenvedély	8	62
2001	23	Dánia	angol	Rollo & King	Never Ever Let You Go	Sose hagylak elmenni	2	177
2011	15	Moldova	angol	Zdob şi Zdub	So Lucky	Olyan szerencsés	12	97
1991	8	Svédország	svéd	Carola	Fångad av en stormvind	Egy szélvihar rabságában	1	146
1995	12	Franciaország	francia	Nathalie Santamaria	Il me donne rendez-vous	Randevúzik velem	4	94
2013	17	Magyarország	magyar	ByeAlex	Kedvesem (Zoohacker Remix)	—	10	84
2010	21	Örményország	angol	Eva Rivas	Apricot Stone	Barackmag	7	141
1989	3	Írország	angol	Kiev Connolly & The Missing Passengers	The Real Me	A valós énem	18	21
1981	13	Norvégia	norvég	Finn Kalvik	Aldri i livet	Soha az életben	20	0
2009	16	Dánia	angol	Brinck	Believe Again	Újra hinni	13	74
1990	12	Svájc	német	Egon Egemann	Musik klingt in die Welt hinaus	Zene szól az egész világon	11	51
1996	7	Horvátország	horvát	Maja Blagdan	Sveta ljubav	Szent szerelem	4	98
2010	14	Törökország	angol	maNga	We Could Be The Same	Egyformák lehetünk	2	170
1982	18	Németország	német	Nicole	Ein bißchen Frieden	Egy kis béke	1	161
1994	25	Franciaország	francia	Nina Morato	Je suis un vrai garçon	Egy igazi fiú vagyok	7	74
1968	13	Norvégia	norvég	Odd Børre	Stress	Feszültség	13	2
1998	9	Németország	német	Guildo Horn	Guildo hat euch lieb!	Guildo szeret titeket!	7	86
1977	14	Spanyolország	spanyol	Micky	Enséñame a cantar	Taníts meg énekelni	9	52
2003	25	Svédország	angol	Fame	Give Me Your Love	Add nekem a szerelmedet	5	107
1981	15	Portugália	portugál	Carlos Paião	Playback	—	18	9
2009	22	Románia	angol	Elena	The Balkan Girls	A balkáni lányok	19	40
1973	9	Jugoszlávia	szerbhorvát	Zdravko Čolić	Gori vatra	Ég a tűz	15	65
1966	18	Egyesült Királyság	angol	Kenneth McKellar	A Man Without Love	Egy férfi szerelem nélkül	9	8
1980	19	Belgium	francia	Telex	Euro-Vision	Euro-Vízió	17	14
1989	14	Finnország	finn	Anneli Saaristo	La dolce vita	Az édes élet	7	76
1969	11	Svájc	német	Paola del Medico	Bonjour, Bonjour	Jó napot, jó napot	5	13
1991	22	Olaszország	nápolyi	Peppino di Capri	Comme è ddoce 'o mare	Milyen édes a tenger	7	89
2009	10	Oroszország	orosz, ukrán	Anastasiya Prikhodko	Mamo	Anya	11	91
1991	21	Ciprus	görög	Elena Patroklou	SOS	S.O.S.	9	60
1998	14	Portugália	portugál	Alma Lusa	Se eu te pudesse abraçar	Ha megölelhetnélek	12	36
1992	20	Jugoszlávia	szerb	Extra Nena	Ljubim te pesmama	Dalaimmal csókollak	13	44
2003	13	Izrael	héber, angol	Lior Narkis	Words for Love	Szavak a szerelemre	19	17
1959	7	Svédország	svéd	Brita Borg	Augustin	Ágoston	9	4
2007	16	Németország	német, angol	Roger Cicero	Frauen regier'n die Welt	A nők irányítják a világot	19	49
1969	6	Olaszország	olasz	Iva Zanicchi	Due grosse lacrime bianche	Két nagy fehér könny	13	5
1998	20	Belgium	francia	Mélanie Cohl	Dis oui	Mondj igent	6	122
1978	7	Spanyolország	spanyol	José Vélez	Bailemos un vals	Keringőzzünk	9	65
2008	7	Izrael	héber, angol	Boaz	The Fire in Your Eyes	A tűz a szemeidben	9	124
1971	3	Monaco	francia	Séverine	Un banc, un arbre, une rue	Egy pad, egy fa, egy út	1	128
1985	9	Portugália	portugál	Adelaide	Penso em ti, eu sei	Rád gondolok, tudom	18	9
2012	19	Spanyolország	spanyol	Pastora Soler	Quédate conmigo	Maradj velem!	10	97
1962	12	Jugoszlávia	szerbhorvát	Lola Novaković	Ne pali svetlo u sumrak	Ne kapcsolj lámpát alkonyatkor	4	10
1989	11	Luxemburg	francia	Park Café	Monsieur	Uram	20	8
2007	2	Spanyolország	spanyol, angol	D'Nash	I Love You Mi Vida	Szeretlek kedvesem	20	43
1973	8	Svájc	francia	Patrick Juvet	Je vais me marier, Marie	Megházasodom, Mária	12	79
1966	5	Jugoszlávia	szlovén	Berta Ambrož	Brez besed	Szavak nélkül	7	9
1961	8	Németország	német, francia	Lale Andersen	Einmal sehen wir uns wieder	Újra találkozni fogunk	13	3
2006	2	Moldova	angol, spanyol	Arsenium, Natalia Gordienko & Connect-R	Loca	Őrült	20	22
1995	20	Szlovénia	szlovén	Darja Švajger	Prisluhni mi	Hallgass meg	7	84
1986	15	Ciprus	görög	Elpida	Tora zo	Most élek	20	4
1972	6	Norvégia	norvég	Grethe Kausland és Benny Borg	Småting	Apróságok	14	73
1969	9	Svédország	svéd	Tommy Körberg	Judy, min vän	Barátom, Judy	9	8
1981	18	Ciprus	görög	Island	Monika	Mónika	6	69
1982	10	Ausztria	német	Mess	Sonntag	Vasárnap	9	57
1975	14	Monaco	francia	Sophie	Une chanson c'est une lettre	Egy dal egy levél	13	22
1970	1	Hollandia	holland	Hearts of Soul	Waterman	Vízöntő	7	7
2011	20	Szlovénia	angol	Maja Keuc	No One	Senki	13	96
1998	18	Hollandia	holland	Edsilia	Hemel en aarde	Menny és Föld	4	150
1978	13	Németország	német	Ireen Sheer	Feuer	Tűz	6	84
1977	3	Hollandia	holland	Heddy Lester	De mallemolen	A körhinta	12	35
2009	9	Örményország	angol, örmény	Inga és Anus	Nor Par (Jan Jan)	Új tánc (Kedvesem)	10	92
1985	16	Svédország	svéd	Kikki Danielsson	Bra vibrationer	Kellemes rezgések	3	103
1995	4	Bosznia-Hercegovina	bosnyák	Davorin Popović	Dvadeset prvi vijek	A huszonegyedik század	19	14
1964	9	Németország	német	Nora Nova	Man gewöhnt sich so schnell an das Schöne	Milyen gyorsan hozzászokunk a szép dolgokhoz	13	0
1991	1	Jugoszlávia	szerbhorvát	Bebi Dol	Brazil	Brazília	21	1
1962	5	Dánia	dán	Ellen Winther	Vuggevise	Altatódal	10	2
1973	6	Monaco	francia	Marie	Un train qui part	Elinduló vonat	8	85
2008	21	Görögország	angol	Kalomira	Secret Combination	Titkos kombináció	3	218
1999	20	Málta	angol	Times Three	Believe 'n Peace	Hiszek a békében	15	32
1982	4	Egyesült Királyság	angol	Bardo	One Step Further	Egy lépéssel előrébb	7	76
2013	3	Moldova	román	Aliona Moon	O mie	Egy ezer	11	71
1979	16	Norvégia	norvég	Anita Skorgan	Oliver	Olivér	11	57
1997	9	Olaszország	olasz	Jalisse	Fiumi di parole	Szavak folyamai	4	114
2007	23	Örményország	angol, örmény	Hayko	Anytime You Need	Amikor csak akarod	8	138
2003	8	Horvátország	angol, horvát	Claudia Beni	Više nisam tvoja	Többé nem vagyok a tiéd	15	29
1978	17	Luxemburg	francia	Baccara	Parlez-vous français?	Ön beszél franciául?	7	73
1995	14	Belgium	francia	Frédéric Etherlinck	La voix est libre	Szabad a hang	20	8
1999	21	Németország	német, török, angol, héber	Sürpriz	Reise nach Jerusalem - Kudüs'e seyahat	Utazás Jeruzsálembe	3	140
1959	6	Németország	német	Alice és Ellen Kessler	Heute Abend wollen wir tanzen geh'n	Ma éjjel táncolni szeretnénk	8	5
2002	11	Svájc	francia	Francine Jordi	Dans le jardin de mon âme	Lelkem kertjében	22	15
2011	6	Írország	angol	Jedward	Lipstick	Rúzs	8	119
2004	24	Svédország	angol	Lena Philipsson	It Hurts	Fáj	5	170
1962	10	Norvégia	norvég	Inger Jacobsen	Kom sol, kom regn	Jöjj nap, jöjj eső	10	2
1988	7	Hollandia	holland	Gerard Joling	Shangri-la	—	9	70
2005	10	Spanyolország	spanyol	Son de Sol	Brujería	Boszorkányság	21	28
1997	20	Oroszország	orosz	Alla Pugacheva	Primadonna	—	15	33
1978	10	Belgium	francia	Jean Vallée	L'amour ça fait chanter la vie	A szerelem dalra fakasztja az életet	2	125
1975	19	Olaszország	olasz	Wess és Dori Ghezzi	Era	Ez volt	3	115
1981	1	Ausztria	német	Marty Brem	Wenn du da bist	Amikor itt vagy	17	20
2012	26	Moldova	angol	Pasha Parfeny	Lăutar	Hegedűs	11	81
1978	5	Portugália	portugál	Gemini	Dai li dou	—	17	5
1965	13	Olaszország	olasz	Bobby Solo	Se piangi, se ridi	Ha sírsz, ha nevetsz	5	15
1992	6	Franciaország	francia, kreol	Kali	Monté la riviè	Felfelé a folyón	8	73
1992	21	Norvégia	norvég	Merethe Trøan	Visjoner	Látomások	18	23
2005	8	Albánia	angol	Ledina Çelo	Tomorrow I Go	Holnap elmegyek	16	53
1958	8	Németország	német	Margot Hielscher	Für zwei Groschen Musik	Kétfilléres zene	7	5
1998	21	Finnország	finn	Edea	Aava	Nyílt vidék	15	22
1972	5	Egyesült Királyság	angol	The New Seekers	Beg, Steal or Borrow	Koldulok, lopok vagy kölcsönzök	2	114
1960	12	Olaszország	olasz	Renato Rascel	Romantica	Romantikus	8	5
2006	16	Görögország	angol	Anna Vissi	Everything	Minden	9	128
1976	10	Görögország	görög	Mariza Koch	Panagia mou, Panagia mou	Hölgyem, hölgyem	13	20
2004	13	Belgium	angol	Xandee	1 Life	Egy élet	22	7
1982	15	Izrael	héber	Avi Toledano	Hora	Kóló	2	100
1981	7	Jugoszlávia	szerbhorvát	Seid Memić "Vajta"	Lejla	—	15	35
1994	23	Oroszország	orosz	Jugyif	Vecsnij sztrannyik	Örök vándor	9	70
2008	12	Törökország	török	Mor ve Ötesi	Deli	Őrült	7	138
1972	8	Svájc	francia	Veronique Müller	C'est la chanson de mon amour	Ez a szerelmem dala	8	88
1972	1	Németország	német	Mary Roos	Nur die Liebe läßt uns leben	Csak a szerelem éltet minket	3	107
2000	9	Oroszország	angol	Alsou	Solo	Egyedül	2	155
1971	1	Ausztria	német	Marianne Mendt	Musik	Zene	16	66
2008	23	Szerbia	szerb	Jelena Tomašević és Bora Dugić	Oro	Kóló	6	160
1990	5	Hollandia	holland	Maywood	Ik wil alles met je delen	Mindent meg akarok osztani veled	15	25
1963	1	Egyesült Királyság	angol	Ronnie Carroll	Say Wonderful Things	Mondj csodálatos dolgokat	4	28
2001	2	Izland	angol	Two Tricky	Angel	Angyal	22	3
1990	4	Törökország	török	Kayahan	Gözlerinin Hapsindeyim	Újra a szemeidben	17	21
1971	16	Jugoszlávia	szerbhorvát	Krunoslav Slabinac	Tvoj dječak je tužan	A barátod szomorú	14	68
2012	2	Magyarország	angol	Compact Disco	Sound of Our Hearts	Szívünk hangjai	24	19
1986	1	Luxemburg	francia	Sherisse Laurence	L'amour de ma vie	Életem szerelme	3	117
1979	11	Franciaország	francia	Anne-Marie David	Je suis l'enfant-soleil	A nap gyermeke vagyok	3	106
1975	18	Svédország	angol	Lasse Berghagen	Jennie, Jennie	—	8	72
2000	24	Ausztria	angol	The Rounder Girls	All to You	Mind Neked	14	34
2000	11	Ciprus	görög, olasz	Alexandros & Christina	Nomiza	Hittem benne	21	8
1990	7	Egyesült Királyság	angol	Emma	Give a Little Love Back to the World	Adj vissza egy kis szeretetet a világnak	6	87
